Index,Error,Beta
0,1.0001045831643085,0.1
25,1.0000998187125947,0.1
50,1.000091715154699,0.1
75,1.0000996161857387,0.1
100,1.0000935651821163,0.1
125,1.0001171996686864,0.1
150,1.0000812013830953,0.1
175,1.0001734848775772,0.1
200,1.0003495981203099,0.1
225,1.0002999051729455,0.1
250,1.0001198037123962,0.1
275,1.0004071841651323,0.1
300,1.0005054643344364,0.1
325,1.0002380566737044,0.1
350,1.000079467405028,0.1
375,1.000031755067563,0.1
400,1.0000486783344935,0.1
425,1.0000199978994122,0.1
450,1.0000132562140902,0.1
475,1.0000451937065418,0.1
500,1.0000507375907626,0.1
525,1.0001877168640152,0.1
550,1.0003310197110633,0.1
575,1.0002133212700561,0.1
600,1.0001710358912177,0.1
625,1.0000862835492481,0.1
650,1.0004189142514393,0.1
675,1.0002826337475534,0.1
700,1.0001677965779325,0.1
725,1.0003163928279502,0.1
750,1.000334934237882,0.1
775,1.0002079513024165,0.1
800,1.00044881185128,0.1
825,1.000110196602666,0.1
850,1.0001233608662365,0.1
875,0.9999674584835962,0.1
900,1.0002944542227696,0.1
925,1.0002363870934734,0.1
950,1.000329749833299,0.1
975,1.000518839264696,0.1
1000,1.0006319453074193,0.1
1025,1.000753771284335,0.1
1050,1.000879284202924,0.1
1075,1.0010055811890406,0.1
1100,1.000785159318519,0.1
1125,1.0006943950270322,0.1
1150,1.000506695571541,0.1
1175,1.0003352154733698,0.1
1200,1.0001961496620595,0.1
1225,1.0001413763578257,0.1
1250,1.000094619807844,0.1
1275,1.0003290804356806,0.1
1300,1.0003455756694501,0.1
1325,1.0004525463027276,0.1
1350,1.0003758948624593,0.1
1375,1.0001487848987736,0.1
1400,1.000318774967687,0.1
1425,1.0003388846837342,0.1
1450,1.000458974158033,0.1
1475,1.0001293601784678,0.1
