epoch,training,test
0,0.07407407407407407,0.07142857142857142
20,0.25,0.25
40,0.3333333333333333,0.25
60,0.2727272727272727,0.2
80,0.2727272727272727,0.2
100,0.3333333333333333,0.3333333333333333
120,0.3333333333333333,0.3
140,0.2,0.2
160,0.3,0.3
180,0.3,0.3
200,0.4,0.3
220,0.4,0.36363636363636365
240,0.4,0.2727272727272727
260,0.5,0.4
280,0.5,0.4
300,0.4,0.3
320,0.5,0.3
340,0.5,0.3
360,0.5,0.3
380,0.5,0.3
400,0.5,0.3
420,0.5,0.3
440,0.5,0.3
460,0.5,0.3
480,0.5,0.3
500,0.5,0.3
520,0.5,0.3
540,0.5,0.3
560,0.5,0.3
580,0.5,0.3
600,0.5,0.3
620,0.5,0.3
640,0.5,0.3
660,0.5,0.3
680,0.5,0.3
700,0.5,0.3
720,0.5,0.4
740,0.5,0.4
760,0.5,0.4
780,0.5,0.3
800,0.5,0.3
820,0.5,0.3
840,0.5,0.3
860,0.6,0.4
880,0.6,0.4
900,0.6,0.4
920,0.6,0.4
940,0.6,0.4
960,0.6,0.4
980,0.6,0.4
